Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Croatia,2007,5.821,10.162,0.91,67.12,0.662,-0.092,0.934,0.586,0.337
Czech Republic,2007,6.5,10.437,0.9,67.44,0.799,-0.063,0.928,0.736,0.277
Denmark,2007,7.834,10.891,0.954,69.92,0.932,0.24,0.206,0.828,0.194
Dominican Republic,2007,5.081,9.372,0.848,62.96,0.886,-0.008,0.772,0.767,0.26
Ecuador,2007,4.996,9.191,0.839,66.26,0.67,-0.063,0.83,0.833,0.286
Egypt,2007,5.541,9.135,0.686,59.82,0.609,-0.121,,0.665,0.355
El Salvador,2007,5.296,8.887,0.717,63.24,0.639,-0.015,0.785,0.869,0.22
Estonia,2007,5.332,10.347,0.896,65.32,0.712,-0.246,0.743,0.666,0.176
Georgia,2007,3.707,9.117,0.548,65.04,0.464,-0.267,0.697,0.427,0.236
Germany,2007,6.417,10.759,0.926,70.48,0.801,0.167,0.792,0.732,0.231
Ghana,2007,5.22,8.09,0.73,52.78,0.891,0.138,0.771,0.686,0.217
Greece,2007,6.647,10.543,0.808,70.9,0.575,-0.19,0.845,0.738,0.222
Guatemala,2007,6.33,8.891,0.866,61.08,0.628,0.136,0.81,0.819,0.224
Guyana,2007,5.993,8.773,0.849,57.26,0.694,0.11,0.836,0.768,0.296
Honduras,2007,5.097,8.5,0.819,64.78,0.676,0.23,0.826,0.759,0.199
Hungary,2007,4.954,10.153,0.931,65,0.538,-0.161,0.895,0.701,0.23
India,2007,5.027,8.204,0.569,56.14,0.729,-0.051,0.862,0.668,0.253
Indonesia,2007,5.101,8.898,0.704,59.98,0.603,0.311,0.96,0.812,0.242
Iran,2007,5.336,9.497,0.718,62.76,0.533,0.056,0.872,0.626,0.361
Israel,2007,6.841,10.428,0.868,71.44,0.683,0.219,0.868,0.696,0.32
Italy,2007,6.574,10.727,0.912,72.26,0.684,0.113,0.922,0.716,0.303
Japan,2007,6.238,10.558,0.938,73.44,0.796,-0.09,0.809,0.731,0.207
Jordan,2007,5.598,9.321,0.841,63.98,0.646,-0.112,0.664,0.683,0.24
Kazakhstan,2007,5.719,9.878,0.861,58.7,0.806,-0.246,0.865,0.651,0.179
Kenya,2007,4.576,8.078,0.841,51.54,0.75,0.054,0.799,0.725,0.162
Kosovo,2007,5.104,8.928,0.848,,0.381,0.144,0.894,0.655,0.237
Kyrgyzstan,2007,4.698,8.258,0.833,60.26,0.684,-0.091,0.929,0.655,0.13
Laos,2007,5.364,8.307,0.79,54.44,0.867,0.478,0.58,0.861,0.136
Latvia,2007,4.667,10.136,0.836,63.52,0.7,-0.167,0.924,0.673,0.247
Liberia,2007,3.701,7.196,0.594,49.14,0.79,0.115,0.776,0.613,0.435
Lithuania,2007,5.808,10.163,0.941,63.48,0.59,-0.282,0.966,0.589,0.279
Malawi,2007,4.891,6.742,0.6,46.26,0.91,0.202,0.691,0.727,0.176
Malaysia,2007,6.239,9.881,0.871,65.12,0.844,0.089,0.799,0.775,0.162
Mauritania,2007,4.149,8.533,0.682,53.66,0.573,-0.072,0.586,0.733,0.174
Mexico,2007,6.525,9.825,0.879,66.32,0.67,-0.095,0.747,0.816,0.248
Moldova,2007,4.775,8.968,0.804,60.76,0.696,-0.186,0.93,0.571,0.306
Mongolia,2007,4.609,8.833,0.881,58.82,0.781,0.064,0.918,0.571,0.203
Montenegro,2007,5.196,9.693,0.832,66.2,0.512,-0.134,0.815,0.579,0.34
Mozambique,2007,4.833,6.823,0.748,45.5,0.643,0.074,0.854,0.634,0.24
Namibia,2007,4.886,9.059,0.828,49.68,0.781,-0.101,0.839,0.811,0.16
Nepal,2007,4.748,7.638,0.787,57.7,0.413,0.317,0.891,0.643,0.152
Netherlands,2007,7.452,10.881,0.944,70.8,0.896,0.344,0.445,0.818,0.213
New Zealand,2007,7.604,10.546,0.967,71.4,0.878,0.279,0.295,0.854,0.238
Nicaragua,2007,4.944,8.434,0.866,64.48,0.836,0.14,0.826,0.81,0.287
Niger,2007,4.277,6.881,0.726,47.12,0.584,-0.056,0.748,0.706,0.158
Nigeria,2007,4.89,8.364,0.718,44.64,0.635,0.136,0.918,0.826,0.141
North Macedonia,2007,4.494,9.416,0.811,64.095,0.439,0.08,0.87,0.603,0.251
Pakistan,2007,5.671,8.277,0.479,55,0.396,0.089,0.794,0.683,0.31
Palestinian Territories,2007,4.151,8.218,0.712,61.897,0.365,-0.08,0.844,0.566,0.412
Panama,2007,6.894,9.859,0.937,68,0.64,0.083,0.915,0.82,0.149
Paraguay,2007,5.272,9.126,0.863,63.84,0.699,0.132,0.93,0.867,0.219
Peru,2007,5.214,9.063,0.756,65.58,0.638,-0.078,0.931,0.758,0.361
Philippines,2007,5.074,8.608,0.801,60,0.852,-0.022,0.88,0.784,0.378
Poland,2007,5.886,9.978,0.913,66.7,0.772,-0.047,0.925,0.76,0.238
Romania,2007,5.394,9.892,0.736,64.48,0.686,-0.188,0.949,0.644,0.277
Russia,2007,5.223,10.074,0.885,59.26,0.593,-0.284,0.933,0.623,0.193
Saudi Arabia,2007,7.267,10.689,0.892,63.86,0.622,0.005,,0.772,0.232
Senegal,2007,4.68,7.903,0.718,54.06,0.698,-0.002,0.827,0.714,0.199
Serbia,2007,4.75,9.532,0.844,65.6,0.453,-0.165,0.905,0.576,0.334
Sierra Leone,2007,3.585,7.187,0.686,41.2,0.72,0.248,0.83,0.582,0.29
Singapore,2007,6.834,11.212,0.921,73.9,0.867,0.293,0.064,0.7,0.114
South Africa,2007,5.204,9.426,0.788,48.64,0.69,-0.158,0.859,0.735,0.21
South Korea,2007,5.767,10.361,0.827,70.5,0.656,-0.059,0.803,0.69,0.226
Spain,2007,6.995,10.587,0.957,72.06,0.782,-0.093,0.784,0.763,0.264
Sri Lanka,2007,4.415,8.97,0.838,65.86,0.736,0.11,0.847,0.709,0.22
Sweden,2007,7.241,10.806,0.917,71.48,0.91,0.146,0.289,0.796,0.177
Tajikistan,2007,4.432,7.609,0.727,61.08,0.818,0,0.659,0.694,0.133
Tanzania,2007,4.318,7.522,0.708,49.6,0.716,-0.013,0.707,0.755,0.22
Thailand,2007,5.784,9.508,0.889,64.48,0.87,0.391,0.898,0.832,0.18
Turkey,2007,5.623,9.903,0.792,63.32,0.459,-0.178,0.8,0.651,0.395
Uganda,2007,4.456,7.419,0.845,47.46,0.708,-0.001,0.881,0.708,0.228
Ukraine,2007,5.252,9.459,0.82,60.64,0.494,-0.241,0.968,0.636,0.208
United Kingdom,2007,6.802,10.699,0.97,70.46,0.838,0.336,0.498,0.782,0.241
United States,2007,7.513,10.933,,68.22,0.872,0.197,0.633,0.829,0.232
Uruguay,2007,5.694,9.604,0.875,67.58,0.786,-0.165,0.614,0.777,0.274
Vietnam,2007,5.422,8.394,0.856,66.02,0.918,0.089,0.754,0.588,0.206
Yemen,2007,4.477,8.214,0.825,53.4,0.673,0.011,,0.592,0.379
Zambia,2007,3.998,7.871,0.688,45.72,0.682,-0.067,0.948,0.687,0.246
Zimbabwe,2007,3.28,7.666,0.828,42.86,0.456,-0.082,0.946,0.661,0.265
