Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Honduras,2014,5.056,8.552,0.79,66.38,0.696,0.015,0.834,0.82,0.299
Hong Kong S.A.R. of China,2014,5.458,10.94,0.834,,0.843,0.224,0.423,0.684,0.243
Hungary,2014,5.181,10.183,0.845,66.24,0.494,-0.15,0.855,0.651,0.238
India,2014,4.424,8.538,0.621,58.6,0.809,-0.026,0.832,0.711,0.285
Indonesia,2014,5.597,9.19,0.905,61.28,0.719,0.408,0.97,0.852,0.242
Iran,2014,4.682,9.476,0.644,64.86,0.767,0.241,0.64,0.618,0.512
Iraq,2014,4.542,9.25,0.725,58.64,0.646,-0.001,0.726,0.574,0.564
Ireland,2014,7.018,10.959,0.968,71.9,0.922,0.264,0.406,0.784,0.229
Israel,2014,7.401,10.533,0.889,72.64,0.707,0.094,0.818,0.604,0.271
Italy,2014,6.027,10.599,0.898,72.96,0.624,-0.065,0.92,0.716,0.356
Ivory Coast,2014,3.57,8.334,0.711,47.4,0.781,-0.08,0.671,0.647,0.291
Jamaica,2014,5.311,9.152,0.874,66.58,0.809,-0.001,0.861,0.737,0.31
Japan,2014,5.923,10.575,0.9,74.52,0.838,-0.139,0.617,0.742,0.189
Jordan,2014,5.333,9.222,0.816,65.9,0.729,-0.104,,0.66,0.313
Kazakhstan,2014,5.97,10.101,0.795,62.28,0.799,0.004,0.805,0.718,0.169
Kenya,2014,4.905,8.219,0.765,57.74,0.819,0.172,0.849,0.814,0.221
Kosovo,2014,5,9.129,0.706,,0.441,0.012,0.775,0.636,0.206
Kuwait,2014,6.18,10.945,,65.8,,,,,
Kyrgyzstan,2014,5.252,8.46,0.898,62.78,0.736,0.355,0.897,0.725,0.185
Latvia,2014,5.729,10.144,0.881,65.64,0.671,-0.043,0.804,0.652,0.226
Lebanon,2014,5.233,9.739,0.759,65.52,0.657,-0.012,0.939,0.559,0.267
Liberia,2014,4.571,7.391,0.708,53.28,0.59,-0.03,0.869,0.543,0.443
Lithuania,2014,6.126,10.306,0.908,65.3,0.508,-0.263,0.956,0.619,0.287
Luxembourg,2014,6.891,11.598,0.875,72.42,0.938,0.106,0.366,0.803,0.17
Madagascar,2014,3.676,7.34,0.655,57.48,0.529,-0.023,0.791,0.748,0.192
Malawi,2014,4.563,6.935,0.512,54.48,0.786,0.061,0.824,0.704,0.263
Malaysia,2014,5.963,10.082,0.863,66.24,0.808,0.239,0.845,0.77,0.261
Mali,2014,3.975,7.638,0.843,49.84,0.652,-0.037,0.658,0.741,0.186
Malta,2014,6.452,10.486,0.941,72.08,0.904,0.404,0.67,0.652,0.352
Mauritania,2014,4.483,8.519,0.853,55.78,0.468,-0.054,0.589,0.755,0.163
Mauritius,2014,5.648,9.865,0.785,65.3,0.824,0.176,0.879,0.808,0.222
Mexico,2014,6.68,9.847,0.782,67.22,0.779,-0.094,0.63,0.802,0.229
Moldova,2014,5.917,9.241,0.805,62.58,0.623,-0.113,0.925,0.583,0.26
Mongolia,2014,4.825,9.304,0.943,61.4,0.752,0.146,0.909,0.627,0.17
Montenegro,2014,5.283,9.777,0.863,67.74,0.503,0.097,0.768,0.587,0.368
Myanmar,2014,4.786,8.299,0.774,57.74,,0.698,0.592,0.858,0.112
Namibia,2014,4.574,9.232,0.763,55.16,0.849,-0.183,0.79,0.749,0.239
Nepal,2014,4.975,7.948,0.786,60,0.712,0.121,0.841,0.614,0.287
Netherlands,2014,7.321,10.867,0.909,71.88,0.91,0.331,0.457,0.868,0.221
New Zealand,2014,7.306,10.592,0.942,72.48,0.932,0.348,0.273,0.848,0.199
Nicaragua,2014,6.275,8.602,0.839,66.38,0.817,0.104,0.699,0.813,0.334
Niger,2014,4.181,7.027,0.753,51.48,0.688,-0.046,0.605,0.678,0.205
North Cyprus,2014,5.786,,0.802,,0.83,,0.692,0.724,0.311
North Macedonia,2014,5.204,9.576,0.793,65.053,0.645,0.035,0.861,0.637,0.307
Norway,2014,7.444,11.024,0.941,72.68,0.956,0.181,0.405,0.834,0.194
Pakistan,2014,5.436,8.336,0.552,57.08,0.543,0.14,0.677,0.585,0.295
Palestinian Territories,2014,4.722,8.457,0.775,,0.657,-0.147,0.804,0.565,0.38
Panama,2014,6.631,10.217,0.873,69.1,0.894,0.002,0.847,0.808,0.254
Paraguay,2014,5.119,9.36,0.959,64.98,0.759,-0.002,0.762,0.944,0.216
Peru,2014,5.866,9.382,0.819,67.02,0.722,-0.136,0.878,0.759,0.319
Philippines,2014,5.313,8.85,0.813,61.4,0.902,-0.015,0.787,0.813,0.334
Poland,2014,5.75,10.197,0.924,67.94,0.875,-0.064,0.898,0.777,0.223
Portugal,2014,5.127,10.325,0.862,71.6,0.847,-0.126,0.941,0.705,0.358
Romania,2014,5.727,10.041,0.753,66.08,0.754,-0.1,0.958,0.654,0.331
Russia,2014,6.037,10.171,0.932,62.68,0.744,-0.265,0.869,0.688,0.151
Rwanda,2014,3.596,7.484,0.748,58.68,0.894,-0.023,0.078,0.763,0.134
Saudi Arabia,2014,6.278,10.783,0.818,65.2,0.762,-0.073,,0.705,0.313
Senegal,2014,4.395,7.961,0.856,57.94,0.692,-0.045,0.7,0.725,0.157
Serbia,2014,5.113,9.627,0.783,66.84,0.532,0.072,0.912,0.498,0.326
Sierra Leone,2014,4.5,7.6,0.869,45.58,0.681,0.034,0.786,0.57,0.334
Singapore,2014,7.062,11.383,0.822,75.68,0.835,0.154,0.133,0.841,0.18
Slovakia,2014,6.139,10.244,0.924,67.76,0.635,-0.126,0.914,0.703,0.267
Slovenia,2014,5.678,10.412,0.908,70,0.888,0.052,0.909,0.62,0.291
Somalia,2014,5.528,,0.611,49.6,0.874,,0.456,0.834,0.207
South Africa,2014,4.828,9.464,0.881,54.34,0.794,-0.117,0.82,0.798,0.243
South Korea,2014,5.801,10.546,0.738,72.44,0.623,-0.043,0.834,0.653,0.283
South Sudan,2014,3.832,,0.545,49.84,0.567,,0.742,0.614,0.428
Spain,2014,6.456,10.492,0.948,73.38,0.738,-0.028,0.854,0.716,0.335
Sri Lanka,2014,4.268,9.344,0.805,66.5,0.868,0.299,0.791,0.843,0.187
Sudan,2014,4.139,8.317,0.811,55.12,0.39,-0.063,0.794,0.541,0.303
Sweden,2014,7.239,10.82,0.933,72.22,0.945,0.202,0.25,0.836,0.208
Switzerland,2014,7.493,11.098,0.959,73.06,0.949,0.06,0.283,0.823,0.189
Taiwan Province of China,2014,6.363,10.798,0.87,,0.693,0.092,0.866,0.849,0.108
Tajikistan,2014,4.896,7.911,0.81,63.04,0.853,0.002,0.698,0.656,0.196
Tanzania,2014,3.483,7.734,0.789,55.26,0.654,0.11,0.878,0.731,0.241
Thailand,2014,6.985,9.672,0.933,66.38,0.9,0.553,0.92,0.811,0.169
Togo,2014,2.839,7.247,0.444,53.02,0.663,-0.085,0.795,0.583,0.443
Tunisia,2014,4.764,9.26,0.68,65.82,0.589,-0.232,0.783,0.503,0.321
Turkey,2014,5.58,10.124,0.863,65.36,0.649,-0.024,0.764,0.483,0.377
Turkmenistan,2014,5.787,9.427,0.909,60.76,0.805,0.032,,0.695,0.154
Uganda,2014,3.77,7.611,0.821,53.68,0.834,0.009,0.898,0.681,0.397
Ukraine,2014,4.297,9.426,0.877,63.4,0.533,0.084,0.927,0.594,0.249
United Arab Emirates,2014,6.54,11.041,,66.48,,,,,
United Kingdom,2014,6.758,10.697,0.91,71.62,0.857,0.355,0.484,0.794,0.251
United States,2014,7.151,10.956,0.902,68.62,0.866,0.221,0.702,0.834,0.281
Uruguay,2014,6.561,9.932,0.902,68.56,0.904,-0.073,0.533,0.869,0.251
Uzbekistan,2014,6.049,8.659,0.952,64,0.954,0.061,0.536,0.805,0.106
Venezuela,2014,6.136,9.557,0.904,65.86,0.57,-0.199,0.827,0.811,0.244
Vietnam,2014,5.085,8.716,0.792,67.14,,0,,0.701,0.241
Yemen,2014,3.968,8.117,0.638,54.3,0.664,-0.157,0.885,0.611,0.276
Zambia,2014,4.346,8.146,0.706,53.06,0.812,-0.011,0.809,0.692,0.327
Zimbabwe,2014,4.184,7.991,0.766,52.38,0.642,-0.074,0.82,0.725,0.239
