Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Honduras,2011,4.961,8.508,0.766,65.72,0.783,0.095,0.884,0.816,0.307
Hong Kong S.A.R. of China,2011,5.474,10.887,0.846,,0.894,0.235,0.245,0.734,0.196
Hungary,2011,4.918,10.127,0.894,65.76,0.631,-0.089,0.94,0.642,0.305
India,2011,4.635,8.387,0.553,57.7,0.838,-0.038,0.908,0.648,0.232
Indonesia,2011,5.173,9.069,0.825,60.62,0.878,0.438,0.962,0.864,0.273
Iran,2011,4.768,9.547,0.582,64.14,0.798,0.2,0.665,0.578,0.359
Iraq,2011,4.725,9.152,0.751,59.36,0.347,-0.07,0.78,0.488,0.557
Ireland,2011,7.007,10.878,0.977,71.6,0.952,0.383,0.59,0.865,0.19
Israel,2011,7.433,10.489,0.893,72.46,0.722,0.141,0.891,0.738,0.384
Italy,2011,6.057,10.671,0.913,72.84,0.568,-0.018,0.933,0.658,0.266
Jamaica,2011,5.374,9.164,0.855,66.22,0.796,-0.064,0.909,0.836,0.237
Japan,2011,6.263,10.532,0.917,73.98,0.814,-0.052,0.734,0.776,0.181
Jordan,2011,5.539,9.289,0.878,65,0.76,-0.143,,0.612,0.26
Kazakhstan,2011,5.736,9.997,0.905,60.72,0.878,-0.235,0.802,0.695,0.154
Kenya,2011,4.405,8.143,0.846,56.06,0.709,0.022,0.923,0.76,0.228
Kosovo,2011,4.86,9.067,0.759,,0.589,0.004,0.919,0.696,0.124
Kuwait,2011,6.378,11.017,0.882,64.9,0.769,,0.56,0.793,0.177
Kyrgyzstan,2011,4.921,8.374,0.891,61.52,0.748,-0.155,0.932,0.681,0.151
Laos,2011,4.704,8.548,0.691,56.3,0.882,0.459,0.587,0.9,0.225
Latvia,2011,4.967,10.029,0.836,64.86,0.564,-0.002,0.934,0.563,0.222
Lebanon,2011,5.188,9.838,0.733,65.28,0.657,0.006,0.911,0.578,0.32
Lesotho,2011,4.898,7.777,0.824,45.74,0.618,-0.087,0.768,0.793,0.17
Lithuania,2011,5.432,10.167,0.911,64.7,0.566,-0.148,0.964,0.57,0.275
Luxembourg,2011,7.101,11.595,0.934,71.88,0.962,0.106,0.388,0.836,0.2
Madagascar,2011,4.381,7.336,0.818,56.22,0.546,-0.062,0.897,0.51,0.235
Malawi,2011,3.946,6.895,0.613,51.42,0.733,0.099,0.853,0.713,0.268
Malaysia,2011,5.786,9.966,0.77,65.76,0.84,-0.016,0.842,0.887,0.155
Mali,2011,4.667,7.643,0.796,48.76,0.823,-0.101,0.726,0.758,0.132
Malta,2011,6.155,10.37,0.923,71.72,0.882,0.296,,0.736,0.34
Mauritania,2011,4.785,8.481,0.75,54.82,0.567,0.052,0.747,0.762,0.175
Mauritius,2011,5.477,9.767,0.8,64.7,0.848,0.191,0.847,0.738,0.253
Mexico,2011,6.91,9.81,0.824,66.68,0.831,-0.099,0.698,0.79,0.228
Moldova,2011,5.792,9.111,0.869,61.62,0.628,-0.082,0.957,0.568,0.285
Mongolia,2011,5.031,9.061,0.948,60.5,0.7,0.151,0.931,0.692,0.153
Montenegro,2011,5.223,9.755,0.818,67.26,0.546,-0.226,0.762,0.603,0.378
Morocco,2011,5.085,8.783,0.833,63.8,0.579,-0.218,0.875,0.736,0.187
Mozambique,2011,4.971,6.979,0.818,48.32,0.639,-0.024,0.719,0.592,0.243
Nepal,2011,3.809,7.797,0.741,59.4,0.525,-0.01,0.935,0.699,0.207
Netherlands,2011,7.564,10.875,0.938,71.52,0.925,0.336,0.359,0.863,0.181
New Zealand,2011,7.191,10.536,0.954,72.12,0.935,0.284,0.269,0.864,0.21
Nicaragua,2011,5.386,8.484,0.8,65.72,0.779,-0.02,0.76,0.791,0.309
Niger,2011,4.556,6.925,0.818,49.92,0.78,-0.055,0.549,0.7,0.166
North Macedonia,2011,4.898,9.518,0.784,64.661,0.607,-0.087,0.865,0.588,0.363
Oman,2011,6.853,10.382,,65.5,0.916,0.025,,,0.295
Pakistan,2011,5.267,8.276,0.51,56.42,0.376,0.03,0.857,0.628,0.358
Palestinian Territories,2011,4.751,8.474,0.751,,0.522,-0.127,0.75,0.567,0.388
Panama,2011,7.248,10.059,0.876,68.5,0.829,0.009,0.84,0.885,0.18
Paraguay,2011,5.677,9.278,0.869,64.62,0.666,0.191,0.756,0.81,0.19
Peru,2011,5.892,9.27,0.756,66.48,0.773,-0.123,0.824,0.78,0.331
Philippines,2011,4.994,8.707,0.789,60.8,0.883,0.073,0.783,0.851,0.358
Poland,2011,5.646,10.133,0.905,67.46,0.868,-0.067,0.908,0.725,0.224
Portugal,2011,5.22,10.353,0.856,71,0.875,-0.173,0.962,0.725,0.279
Qatar,2011,6.592,11.553,0.857,67.02,0.905,0.012,,0.761,0.328
Romania,2011,5.023,9.94,0.753,65.42,0.65,-0.14,0.964,0.543,0.294
Russia,2011,5.389,10.129,0.883,61.42,0.626,-0.279,0.935,0.601,0.165
Rwanda,2011,4.097,7.369,0.57,56.82,0.829,-0.039,0.161,0.665,0.154
Saudi Arabia,2011,6.7,10.758,0.83,64.6,0.603,-0.142,,0.726,0.24
Senegal,2011,3.834,7.904,0.602,56.56,0.641,-0.16,0.87,0.752,0.18
Serbia,2011,4.815,9.607,0.773,66.36,0.44,-0.185,0.977,0.545,0.41
Sierra Leone,2011,4.502,7.292,0.782,44.32,0.77,0.005,0.855,0.446,0.3
Singapore,2011,6.561,11.307,0.904,75.02,0.822,-0.149,0.099,0.483,0.144
Slovakia,2011,5.945,10.196,0.917,67.04,0.727,0.01,0.907,0.637,0.287
Slovenia,2011,6.036,10.426,0.931,69.4,0.907,-0.025,0.893,0.652,0.285
Somaliland region,2011,4.931,,0.788,,0.858,,0.357,0.749,0.122
South Africa,2011,4.931,9.447,0.858,51.46,0.835,-0.154,0.819,0.763,0.23
South Korea,2011,6.947,10.475,0.809,71.66,0.682,-0.048,0.827,0.656,0.168
Spain,2011,6.518,10.518,0.944,73.02,0.819,-0.122,0.846,0.737,0.356
Sri Lanka,2011,4.181,9.193,0.842,66.2,0.823,0.145,0.76,0.825,0.175
Sudan,2011,4.314,8.204,0.818,54.28,0.583,-0.024,0.663,0.586,0.249
Swaziland,2011,4.867,8.94,0.837,40.808,0.607,-0.067,0.917,0.821,0.251
Sweden,2011,7.382,10.814,0.921,71.98,0.941,0.161,0.269,0.815,0.179
Syria,2011,4.038,8.727,0.576,62.32,0.53,0.131,0.741,0.599,0.496
Taiwan Province of China,2011,6.309,10.705,0.863,,0.761,0.035,0.755,0.827,0.112
Tajikistan,2011,4.263,7.772,0.751,62.56,0.776,-0.119,0.672,0.698,0.166
Tanzania,2011,4.074,7.649,0.883,53.04,0.736,-0.046,0.816,0.765,0.145
Thailand,2011,6.664,9.579,0.884,65.72,0.927,0.4,0.923,0.934,0.117
Togo,2011,2.936,7.146,0.303,51.58,0.584,-0.07,0.832,0.48,0.395
Trinidad and Tobago,2011,6.519,10.263,0.863,62.54,0.775,0.078,0.9,0.906,0.134
Tunisia,2011,4.876,9.192,0.715,65.28,0.603,-0.199,0.913,0.588,0.248
Turkey,2011,5.272,9.996,0.692,64.64,0.446,-0.242,0.649,0.621,0.38
Turkmenistan,2011,5.792,9.182,0.964,60.04,,0.018,,0.639,0.122
Uganda,2011,4.826,7.586,0.882,51.22,0.733,0.032,0.83,0.678,0.254
Ukraine,2011,5.083,9.431,0.859,62.5,0.579,-0.228,0.933,0.59,0.22
United Arab Emirates,2011,7.119,10.935,0.881,66.42,0.889,0.071,,0.763,0.216
United Kingdom,2011,6.869,10.657,0.949,71.38,0.9,0.336,0.438,0.844,0.174
United States,2011,7.115,10.913,0.922,68.68,0.863,0.161,0.697,0.836,0.273
Uruguay,2011,6.554,9.83,0.891,68.14,0.851,-0.08,0.556,0.805,0.252
Uzbekistan,2011,5.739,8.493,0.924,63.4,0.934,0.042,0.522,0.787,0.123
Venezuela,2011,6.58,9.822,0.931,65.74,0.766,-0.226,0.772,0.828,0.199
Vietnam,2011,5.767,8.585,0.898,66.66,0.818,0.105,0.742,0.532,0.193
Yemen,2011,3.746,8.336,0.663,54.3,0.638,-0.173,0.754,0.503,0.285
Zambia,2011,4.999,8.071,0.864,50.84,0.663,0.003,0.882,0.833,0.204
Zimbabwe,2011,4.846,7.846,0.865,48.12,0.633,-0.088,0.83,0.781,0.211
