Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Mauritania,2015,3.923,8.542,0.875,56.1,0.447,0.055,0.715,0.82,0.194
Mexico,2015,6.236,9.867,0.761,67.4,0.719,-0.152,0.708,0.745,0.237
Moldova,2015,6.017,9.246,0.84,62.9,0.595,-0.09,0.943,0.59,0.281
Mongolia,2015,4.983,9.308,0.906,61.7,0.686,0.173,0.9,0.653,0.208
Montenegro,2015,5.125,9.81,0.74,67.9,0.583,-0.144,0.781,0.58,0.337
Morocco,2015,5.163,8.872,0.606,65,0.713,-0.228,0.842,0.661,0.262
Mozambique,2015,4.55,7.141,0.666,51.2,0.813,0.089,0.632,0.564,0.34
Myanmar,2015,4.224,8.359,0.752,58.1,0.808,0.688,0.633,0.866,0.272
Nepal,2015,4.812,7.976,0.748,60.2,0.763,0.227,0.824,0.543,0.358
Netherlands,2015,7.324,10.882,0.879,72,0.904,0.261,0.412,0.834,0.202
New Zealand,2015,7.418,10.608,0.987,72.6,0.942,0.329,0.186,0.834,0.16
Nicaragua,2015,5.924,8.636,0.827,66.6,0.809,0.077,0.728,0.797,0.346
Niger,2015,3.671,7.03,0.713,52,0.728,-0.032,0.703,0.682,0.218
Nigeria,2015,4.933,8.615,0.812,48.5,0.68,-0.035,0.926,0.717,0.251
North Cyprus,2015,5.843,,0.791,,0.785,,0.659,0.702,0.319
North Macedonia,2015,4.976,9.613,0.766,65.145,0.66,-0.047,0.824,0.62,0.299
Norway,2015,7.603,11.033,0.947,72.9,0.948,0.257,0.299,0.843,0.209
Pakistan,2015,4.823,8.361,0.562,57.3,0.587,0.085,0.717,0.575,0.329
Palestinian Territories,2015,4.695,8.48,0.766,,0.556,-0.153,0.774,0.594,0.369
Panama,2015,6.606,10.255,0.883,69.3,0.847,-0.007,0.81,0.801,0.264
Paraguay,2015,5.56,9.377,0.914,65.1,0.806,-0.008,0.863,0.866,0.219
Peru,2015,5.577,9.402,0.798,67.2,0.802,-0.09,0.884,0.754,0.378
Philippines,2015,5.547,8.896,0.854,61.6,0.912,-0.051,0.755,0.805,0.351
Poland,2015,6.007,10.235,0.893,68.1,0.793,-0.093,0.81,0.734,0.24
Portugal,2015,5.081,10.347,0.866,71.8,0.8,-0.163,0.941,0.657,0.371
Qatar,2015,6.375,11.486,,68.3,,,,,
Romania,2015,5.777,10.083,0.787,66.3,0.796,-0.141,0.962,0.714,0.312
Russia,2015,5.996,10.149,0.924,63.1,0.685,-0.171,0.913,0.679,0.13
Rwanda,2015,3.483,7.544,0.678,59.3,0.908,0.025,0.095,0.721,0.206
Saudi Arabia,2015,6.345,10.798,0.82,65.4,0.82,-0.045,,0.724,0.327
Senegal,2015,4.617,7.995,0.702,58.4,0.72,-0.111,0.765,0.711,0.208
Serbia,2015,5.318,9.649,0.816,67,0.546,-0.062,0.859,0.496,0.303
Sierra Leone,2015,4.909,7.347,0.611,46,0.624,0.05,0.825,0.625,0.414
Singapore,2015,6.62,11.4,0.866,75.9,0.887,0.15,0.099,0.803,0.142
Slovakia,2015,6.162,10.291,0.943,68,0.587,-0.128,0.928,0.714,0.269
Slovenia,2015,5.741,10.433,0.901,70.2,0.896,0.008,0.892,0.659,0.261
Somalia,2015,5.354,,0.599,50.1,0.968,,0.41,0.901,0.187
South Africa,2015,4.887,9.46,0.898,55.3,0.862,-0.127,0.853,0.781,0.161
South Korea,2015,5.78,10.568,0.768,72.7,0.616,-0.036,0.841,0.65,0.244
South Sudan,2015,4.071,,0.585,50.2,0.512,,0.71,0.586,0.45
Spain,2015,6.381,10.531,0.956,73.5,0.732,-0.072,0.822,0.732,0.285
Sri Lanka,2015,4.612,9.383,0.863,66.6,0.902,0.319,0.859,0.848,0.235
Sweden,2015,7.289,10.853,0.929,72.3,0.935,0.211,0.232,0.818,0.191
Switzerland,2015,7.572,11.1,0.938,73.2,0.928,0.109,0.21,0.809,0.166
Syria,2015,3.462,8.442,0.464,55.2,0.448,0.045,0.685,0.369,0.643
Taiwan Province of China,2015,6.45,10.842,0.885,,0.701,0.019,0.857,0.832,0.129
Tajikistan,2015,5.124,7.945,0.844,63.2,0.847,0.022,0.742,0.689,0.196
Tanzania,2015,3.661,7.764,0.79,56,0.759,0.149,0.906,0.619,0.192
Thailand,2015,6.202,9.699,0.866,66.6,0.885,0.316,0.914,0.91,0.174
Togo,2015,3.768,7.277,0.479,53.5,0.772,-0.069,0.733,0.599,0.416
Tunisia,2015,5.132,9.261,0.609,66,0.711,-0.226,0.815,0.573,0.32
Turkey,2015,5.514,10.166,0.851,65.6,0.653,-0.016,0.806,0.46,0.382
Turkmenistan,2015,5.791,9.472,0.96,61,0.701,0.093,,0.705,0.301
Uganda,2015,4.238,7.627,0.747,54.5,0.758,0.135,0.873,0.703,0.353
Ukraine,2015,3.965,9.327,0.909,63.7,0.431,-0.033,0.952,0.574,0.241
United Arab Emirates,2015,6.568,11.086,0.824,66.5,0.915,0.201,,0.761,0.296
United Kingdom,2015,6.515,10.712,0.936,71.7,0.833,0.3,0.456,0.798,0.219
United States,2015,6.864,10.977,0.904,68.6,0.849,0.219,0.698,0.814,0.275
Uruguay,2015,6.628,9.932,0.891,68.7,0.917,-0.032,0.673,0.893,0.3
Uzbekistan,2015,5.972,8.714,0.968,64.2,0.98,0.375,0.471,0.84,0.103
Venezuela,2015,5.569,9.001,0.911,65.9,0.512,-0.117,0.813,0.867,0.223
Vietnam,2015,5.076,8.77,0.849,67.3,,0.086,,0.642,0.232
Yemen,2015,2.983,7.858,0.669,54.3,0.61,-0.139,0.829,0.507,0.321
Zambia,2015,4.843,8.144,0.691,53.8,0.759,-0.039,0.871,0.69,0.382
Zimbabwe,2015,3.703,7.992,0.736,53.8,0.667,-0.123,0.81,0.715,0.179
