Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Israel,2012,7.111,10.493,0.903,72.52,0.681,0.153,0.862,0.665,0.319
Italy,2012,5.839,10.638,0.869,72.88,0.57,0.113,0.908,0.67,0.388
Japan,2012,5.968,10.549,0.905,74.16,0.753,,0.692,0.777,0.171
Jordan,2012,5.132,9.261,0.829,65.3,0.693,-0.16,,0.565,0.345
Kazakhstan,2012,5.759,10.03,0.892,61.24,0.84,-0.171,0.877,0.74,0.184
Kenya,2012,4.547,8.161,0.831,56.62,0.628,0.066,0.911,0.707,0.194
Kosovo,2012,5.64,9.086,0.757,,0.636,0.027,0.95,0.596,0.1
Kuwait,2012,6.221,11.025,0.889,65.2,0.934,,,0.821,0.095
Kyrgyzstan,2012,5.208,8.357,0.856,61.94,0.703,-0.079,0.892,0.691,0.182
Laos,2012,4.876,8.611,0.693,56.6,,0.232,,0.917,0.387
Latvia,2012,5.125,10.082,0.851,65.12,0.564,-0.038,0.895,0.56,0.232
Lebanon,2012,4.573,9.8,0.713,65.36,0.621,-0.006,0.856,0.499,0.339
Libya,2012,5.754,9.842,0.855,62.66,0.712,-0.032,0.791,0.695,0.316
Lithuania,2012,5.771,10.218,0.919,64.9,0.503,-0.273,0.957,0.581,0.277
Luxembourg,2012,6.964,11.567,0.914,72.06,0.917,0.059,0.403,0.815,0.227
Madagascar,2012,3.551,7.339,0.673,56.64,0.487,-0.055,0.854,0.69,0.194
Malawi,2012,4.279,6.885,0.604,52.44,0.637,0.169,0.886,0.816,0.2
Malaysia,2012,5.914,10.005,0.841,65.92,0.848,0.017,0.847,0.867,0.177
Mali,2012,4.313,7.605,0.823,49.12,0.704,-0.088,0.787,0.681,0.109
Malta,2012,5.963,10.389,0.922,71.84,0.861,0.352,,0.744,0.391
Mauritania,2012,4.673,8.495,0.763,55.14,0.487,-0.021,0.707,0.782,0.164
Mexico,2012,7.32,9.832,0.767,66.86,0.788,-0.093,0.633,0.784,0.278
Moldova,2012,5.996,9.105,0.826,61.94,0.602,-0.05,0.955,0.568,0.314
Mongolia,2012,4.885,9.158,0.919,60.8,0.688,0.107,0.932,0.689,0.181
Montenegro,2012,5.219,9.726,0.704,67.42,0.462,-0.192,0.755,0.574,0.379
Morocco,2012,4.97,8.799,0.676,64.1,0.757,-0.187,0.845,0.687,0.281
Myanmar,2012,4.439,8.158,0.612,57.02,0.691,0.645,0.695,0.764,0.205
Nepal,2012,4.233,7.846,0.734,59.6,0.638,0.07,0.883,0.736,0.231
Netherlands,2012,7.471,10.861,0.939,71.64,0.877,0.288,0.434,0.861,0.226
New Zealand,2012,7.25,10.553,0.93,72.24,0.902,0.287,0.289,0.866,0.207
Nicaragua,2012,5.448,8.534,0.894,65.94,0.85,0.017,0.644,0.803,0.255
Niger,2012,3.798,6.987,0.7,50.44,0.734,-0.064,0.777,0.603,0.142
Nigeria,2012,5.493,8.543,0.818,47.12,0.652,0.066,0.9,0.811,0.209
North Cyprus,2012,5.463,,0.871,,0.693,,0.855,0.709,0.405
North Macedonia,2012,4.64,9.513,0.798,64.811,0.613,-0.084,0.92,0.642,0.422
Norway,2012,7.678,11.017,0.948,72.24,0.947,0.147,0.368,0.823,0.213
Pakistan,2012,5.132,8.289,0.542,56.64,0.367,0.165,0.842,0.665,0.332
Palestinian Territories,2012,4.647,8.531,0.782,,0.542,-0.153,0.73,0.616,0.379
Panama,2012,6.86,10.135,0.897,68.7,0.783,-0.002,0.796,0.869,0.207
Paraguay,2012,5.82,9.259,0.931,64.74,0.748,0.2,0.774,0.837,0.213
Peru,2012,5.825,9.322,0.764,66.66,0.703,-0.079,0.867,0.757,0.398
Philippines,2012,5.002,8.756,0.813,61,0.914,0.053,0.771,0.865,0.351
Poland,2012,5.876,10.149,0.936,67.62,0.811,-0.027,0.888,0.787,0.267
Portugal,2012,4.994,10.315,0.866,71.2,0.774,-0.097,0.959,0.729,0.37
Qatar,2012,6.611,11.523,0.838,67.34,0.924,0.162,,0.766,0.322
Romania,2012,5.167,9.965,0.74,65.64,0.645,-0.112,0.959,0.556,0.343
Russia,2012,5.621,10.166,0.901,61.84,0.609,-0.293,0.938,0.611,0.174
Rwanda,2012,3.333,7.428,0.637,57.44,0.835,-0.012,0.081,0.703,0.132
Saudi Arabia,2012,6.396,10.779,0.867,64.8,0.56,-0.12,,0.715,0.225
Senegal,2012,3.669,7.926,0.711,57.02,0.668,-0.036,0.852,0.771,0.214
Serbia,2012,5.155,9.605,0.819,66.52,0.461,-0.13,0.952,0.514,0.371
Slovakia,2012,5.911,10.213,0.926,67.28,0.62,-0.028,0.907,0.656,0.302
Slovenia,2012,6.063,10.397,0.925,69.6,0.904,-0.02,0.891,0.656,0.284
Somaliland region,2012,5.057,,0.786,,0.758,,0.334,0.735,0.152
South Africa,2012,5.134,9.453,0.907,52.42,0.59,-0.163,0.838,0.761,0.178
South Korea,2012,6.003,10.494,0.775,71.92,0.618,,0.844,0.664,0.206
Spain,2012,6.291,10.487,0.937,73.14,0.755,-0.059,0.844,0.749,0.366
Sri Lanka,2012,4.225,9.279,0.824,66.3,0.8,0.161,0.823,0.864,0.197
Sudan,2012,4.55,8.296,0.813,54.56,0.412,-0.056,0.734,0.576,0.242
Suriname,2012,6.269,9.797,0.797,62.24,0.885,-0.077,0.751,0.764,0.25
Sweden,2012,7.56,10.8,0.929,72.06,0.944,0.132,0.254,0.855,0.17
Switzerland,2012,7.776,11.079,0.947,72.78,0.945,0.139,0.323,0.859,0.176
Syria,2012,3.164,8.563,0.588,60.54,0.467,0.316,0.673,0.464,0.705
Taiwan Province of China,2012,6.126,10.716,0.825,,0.698,0.022,0.803,0.821,0.14
Tajikistan,2012,4.497,7.821,0.729,62.72,0.749,-0.073,0.717,0.714,0.198
Tanzania,2012,4.007,7.663,0.832,53.78,0.577,0.213,0.887,0.679,0.195
Thailand,2012,6.3,9.645,0.906,65.94,0.847,0.38,0.909,0.855,0.138
Tunisia,2012,4.464,9.222,0.614,65.46,0.568,-0.176,0.899,0.521,0.327
Turkey,2012,5.309,10.026,0.739,64.88,0.471,-0.216,0.702,0.645,0.335
Turkmenistan,2012,5.464,9.269,0.946,60.28,0.786,-0.123,,0.584,0.117
Uganda,2012,4.309,7.592,0.885,52.04,0.649,0.081,0.838,0.754,0.265
Ukraine,2012,5.03,9.436,0.898,62.8,0.564,-0.223,0.896,0.57,0.193
United Arab Emirates,2012,7.218,10.958,0.856,66.44,0.92,,,0.768,0.224
United Kingdom,2012,6.881,10.664,0.935,71.46,0.889,0.371,0.425,0.844,0.184
United States,2012,7.026,10.928,0.903,68.66,0.823,0.215,0.71,0.834,0.26
Uruguay,2012,6.45,9.861,0.865,68.28,0.871,0.067,0.615,0.788,0.214
Uzbekistan,2012,6.019,8.55,0.933,63.6,0.914,-0.037,0.463,0.786,0.118
Venezuela,2012,7.067,9.826,0.932,65.78,0.804,-0.193,0.743,0.858,0.176
Vietnam,2012,5.535,8.626,0.775,66.82,0.856,-0.11,0.815,0.615,0.221
Yemen,2012,4.061,8.236,0.682,54.3,0.706,-0.171,0.793,0.502,0.263
Zambia,2012,5.013,8.114,0.78,51.58,0.788,0.008,0.806,0.726,0.25
Zimbabwe,2012,4.955,7.983,0.896,49.54,0.47,-0.103,0.859,0.669,0.177
